taxon_id,nombre_cientifico,nombre_comun,iconic_taxon_name,ruta
218921,Elaphidion mucronatum,Spined Oak Borer,Insecta,https://static.inaturalist.org/photos/21475201/square.jpg
146765,Latrodectus hasselti,Redback Spider,Arachnida,https://inaturalist-open-data.s3.amazonaws.com/photos/448767451/square.jpg
182754,Moduza procris,Commander,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/250962482/square.jpg
168423,Sansevieria hyacinthoides,mother-in-law's tongue,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/282793307/square.jpeg
367288,Hygrocybe acutoconica,Persistent Waxcap,Fungi,https://inaturalist-open-data.s3.amazonaws.com/photos/5700297/square.jpg
120443,Cantharellus formosus,Pacific Golden Chanterelle,Fungi,https://inaturalist-open-data.s3.amazonaws.com/photos/168845865/square.jpeg
198885,Amelanchier ovalis,Snowy Mespilus,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/283767616/square.jpeg
334748,Trifolium alpestre,alpine zigzag clover,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/1615610/square.jpg
533769,Pseudoedophrys hilleri,Peach Root Weevil,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/100201319/square.jpg
130741,Silphium asteriscus,Starry rosinweed,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/84835740/square.jpg
72789,Cygnus melancoryphus,Black-necked Swan,Aves,https://static.inaturalist.org/photos/213754116/square.jpg
145570,Amphibolips quercusjuglans,Acorn Plum Gall Wasp,Insecta,https://static.inaturalist.org/photos/25176032/square.jpg
12329,Philemon corniculatus,Noisy Friarbird,Aves,https://inaturalist-open-data.s3.amazonaws.com/photos/329882876/square.jpg
334575,Convolvulus cantabrica,Cantabrican morning glory,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/4010696/square.jpg
472363,Eriothrix rufomaculata,Red Spotted Parasite Fly,Insecta,https://static.inaturalist.org/photos/68200105/square.jpg
160059,Carex pedunculata,long-stalked sedge,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/199381124/square.jpg
324397,Mythimna ferrago,The Clay,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/306859566/square.jpg
354807,Callistege mi,Mother Shipton,Insecta,https://static.inaturalist.org/photos/6296784/square.jpg
4645,Falco femoralis,Aplomado Falcon,Aves,https://static.inaturalist.org/photos/336930295/square.jpeg
107953,Orthetrum chrysostigma,Epaulet Skimmer,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/462988/square.jpg
1004655,Luffa aegyptiaca,Sponge Gourd,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/109026133/square.jpeg
170182,Vernonia missurica,Missouri Ironweed,Plantae,https://inaturalist-open-data.s3.amazonaws.com/photos/9211895/square.jpg
100734,Euphaea formosa,Formosan Damselfly,Insecta,https://inaturalist-open-data.s3.amazonaws.com/photos/407348948/square.jpeg
895267,Cerioporus varius,Elegant Polypore,Fungi,https://inaturalist-open-data.s3.amazonaws.com/photos/40298732/square.jpg
